OMRÅDE;CIVILSTAND;ALDER;TID;INDHOLD
København;Gift/separeret;18 år;2020K1;0
København;Gift/separeret;19 år;2020K1;12
København;Gift/separeret;20 år;2020K1;30
København;Gift/separeret;21 år;2020K1;63
København;Gift/separeret;22 år;2020K1;133
København;Gift/separeret;23 år;2020K1;229
København;Gift/separeret;24 år;2020K1;397
København;Gift/separeret;25 år;2020K1;676
København;Gift/separeret;26 år;2020K1;1071
København;Gift/separeret;27 år;2020K1;1574
København;Gift/separeret;28 år;2020K1;1991
København;Gift/separeret;29 år;2020K1;2531
København;Gift/separeret;30 år;2020K1;2934
København;Gift/separeret;31 år;2020K1;3549
København;Gift/separeret;32 år;2020K1;3616
København;Gift/separeret;33 år;2020K1;3737
København;Gift/separeret;34 år;2020K1;3843
København;Gift/separeret;35 år;2020K1;3928
København;Gift/separeret;36 år;2020K1;3748
København;Gift/separeret;37 år;2020K1;3761
København;Gift/separeret;38 år;2020K1;3846
København;Gift/separeret;39 år;2020K1;3928
København;Gift/separeret;40 år;2020K1;3862
København;Gift/separeret;41 år;2020K1;3897
København;Gift/separeret;42 år;2020K1;3769
København;Gift/separeret;43 år;2020K1;3818
København;Gift/separeret;44 år;2020K1;3826
København;Gift/separeret;45 år;2020K1;3890
København;Gift/separeret;46 år;2020K1;3573
København;Gift/separeret;47 år;2020K1;3590
København;Gift/separeret;48 år;2020K1;3357
København;Gift/separeret;49 år;2020K1;3151
København;Gift/separeret;50 år;2020K1;3024
København;Gift/separeret;51 år;2020K1;3034
København;Gift/separeret;52 år;2020K1;3175
København;Gift/separeret;53 år;2020K1;3274
København;Gift/separeret;54 år;2020K1;3176
København;Gift/separeret;55 år;2020K1;3098
København;Gift/separeret;56 år;2020K1;2873
København;Gift/separeret;57 år;2020K1;2629
København;Gift/separeret;58 år;2020K1;2614
København;Gift/separeret;59 år;2020K1;2543
København;Gift/separeret;60 år;2020K1;2381
København;Gift/separeret;61 år;2020K1;2330
København;Gift/separeret;62 år;2020K1;2264
København;Gift/separeret;63 år;2020K1;2270
København;Gift/separeret;64 år;2020K1;2183
København;Gift/separeret;65 år;2020K1;2089
København;Gift/separeret;66 år;2020K1;2078
København;Gift/separeret;67 år;2020K1;1905
København;Gift/separeret;68 år;2020K1;1876
København;Gift/separeret;69 år;2020K1;1890
København;Gift/separeret;70 år;2020K1;1724
København;Gift/separeret;71 år;2020K1;1827
København;Gift/separeret;72 år;2020K1;1851
København;Gift/separeret;73 år;2020K1;1740
København;Gift/separeret;74 år;2020K1;1578
København;Gift/separeret;75 år;2020K1;1398
København;Gift/separeret;76 år;2020K1;1255
København;Gift/separeret;77 år;2020K1;1090
København;Gift/separeret;78 år;2020K1;832
København;Gift/separeret;79 år;2020K1;734
København;Gift/separeret;80 år;2020K1;675
København;Gift/separeret;81 år;2020K1;527
København;Gift/separeret;82 år;2020K1;406
København;Gift/separeret;83 år;2020K1;376
København;Gift/separeret;84 år;2020K1;318
København;Gift/separeret;85 år;2020K1;238
København;Gift/separeret;86 år;2020K1;215
København;Gift/separeret;87 år;2020K1;151
København;Gift/separeret;88 år;2020K1;134
København;Gift/separeret;89 år;2020K1;94
København;Gift/separeret;90 år;2020K1;73
København;Gift/separeret;91 år;2020K1;61
København;Gift/separeret;92 år;2020K1;54
København;Gift/separeret;93 år;2020K1;23
København;Gift/separeret;94 år;2020K1;19
København;Gift/separeret;95 år;2020K1;11
København;Gift/separeret;96 år;2020K1;5
København;Gift/separeret;97 år;2020K1;10
København;Gift/separeret;98 år;2020K1;1
København;Gift/separeret;99 år;2020K1;0
København;Gift/separeret;100 år;2020K1;1
København;Gift/separeret;101 år;2020K1;0
København;Gift/separeret;102 år;2020K1;1
København;Gift/separeret;103 år;2020K1;0
København;Gift/separeret;104 år;2020K1;0
København;Gift/separeret;105 år;2020K1;0
København;Gift/separeret;106 år;2020K1;0
København;Gift/separeret;107 år;2020K1;0
København;Gift/separeret;108 år;2020K1;0
København;Gift/separeret;109 år;2020K1;0
København;Gift/separeret;110 år;2020K1;0
København;Gift/separeret;111 år;2020K1;0
København;Gift/separeret;112 år;2020K1;0
København;Gift/separeret;113 år;2020K1;0
København;Gift/separeret;114 år;2020K1;0
København;Gift/separeret;115 år;2020K1;0
København;Gift/separeret;116 år;2020K1;0
København;Gift/separeret;117 år;2020K1;0
København;Gift/separeret;118 år;2020K1;0
København;Gift/separeret;119 år;2020K1;0
København;Gift/separeret;120 år;2020K1;0
København;Gift/separeret;121 år;2020K1;0
København;Gift/separeret;122 år;2020K1;0
København;Gift/separeret;123 år;2020K1;0
København;Gift/separeret;124 år;2020K1;0
København;Gift/separeret;125 år;2020K1;0
